#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
1751346,385.00,19.34,
1751397,387.00,19.57,
1751449,387.00,19.57,
1751499,387.00,19.57,
1751550,387.00,19.57,
1751602,386.00,19.45,
1751654,387.00,19.57,
1751705,389.00,19.80,
1751756,387.00,19.57,
1751806,386.00,19.45,
1751859,387.00,19.57,
1751909,388.00,19.68,
1751960,387.00,19.57,
1752011,388.00,19.68,
1752064,388.00,19.68,
1752115,386.00,19.45,
1752165,388.00,19.68,
1752217,388.00,19.68,
1752268,386.00,19.45,
1752320,390.00,19.91,
1752371,387.00,19.57,
1752422,387.00,19.57,
1752473,387.00,19.57,
1752523,387.00,19.57,
1752576,388.00,19.68,
1752626,386.00,19.45,
1752677,387.00,19.57,
1752728,386.00,19.45,
1752779,385.00,19.34,
1752830,357.00,16.11,
1752882,222.00,0.57,
1752934,210.00,-0.82,
1752985,213.00,-0.47,
1753035,212.00,-0.59,
1753086,214.00,-0.36,
1753138,213.00,-0.47,
1753190,213.00,-0.47,
1753240,215.00,-0.24,
1753292,213.00,-0.47,
1753344,212.00,-0.59,
1753395,212.00,-0.59,
1753446,212.00,-0.59,
1753496,212.00,-0.59,
1753547,212.00,-0.59,
1753600,212.00,-0.59,
1753650,213.00,-0.47,
1753702,212.00,-0.59,
1753752,213.00,-0.47,
1753804,211.00,-0.70,
1753854,213.00,-0.47,
1753907,213.00,-0.47,
1753957,211.00,-0.70,
1754008,213.00,-0.47,
1754059,212.00,-0.59,
1754110,211.00,-0.70,
1754163,213.00,-0.47,
1754214,213.00,-0.47,
1754265,212.00,-0.59,
1754316,212.00,-0.59,
1754366,212.00,-0.59,
1754418,212.00,-0.59,
1754469,213.00,-0.47,
1754520,212.00,-0.59,
1754572,213.00,-0.47,
1754624,212.00,-0.59,
1754674,212.00,-0.59,
1754726,214.00,-0.36,
1754776,212.00,-0.59,
1754827,211.00,-0.70,
1754878,211.00,-0.70,
1754931,212.00,-0.59,
1754982,212.00,-0.59,
1755033,212.00,-0.59,
